total_meters,price,floor,floors_count,rooms_count,relative_floor
28.4,17950000,2,30,1,0.06666666666666667
39.0,13200000,13,22,1,0.5909090909090909
42.4,29800000,13,33,1,0.3939393939393939
39.0,18499000,3,12,1,0.25
29.0,11600000,2,5,1,0.4
39.0,15400000,21,25,1,0.84
40.0,13800000,10,17,1,0.5882352941176471
30.0,7100000,2,6,1,0.3333333333333333
50.2,75000000,6,21,1,0.2857142857142857
27.73,41490000,4,10,1,0.4
35.5,9950000,10,12,1,0.8333333333333334
52.44,74990000,4,10,1,0.4
35.1,34900000,21,21,1,1.0
38.2,13200000,21,22,1,0.9545454545454546
38.0,25900000,3,4,1,0.75
30.0,14200000,3,9,1,0.3333333333333333
41.3,20900000,16,25,1,0.64
32.6,20950000,4,9,1,0.4444444444444444
40.0,11700000,20,23,1,0.8695652173913043
34.9,10700000,5,9,1,0.5555555555555556
40.0,11900000,4,14,1,0.2857142857142857
40.0,19000000,22,24,1,0.9166666666666666
55.3,65000000,4,6,1,0.6666666666666666
38.0,23600000,24,26,1,0.9230769230769231
32.7,12450000,9,9,1,1.0
35.4,10000000,4,15,1,0.26666666666666666
34.8,14500000,2,12,1,0.16666666666666666
35.0,8000000,13,13,1,1.0
41.4,11000000,12,17,1,0.7058823529411765
27.0,12300000,12,16,1,0.75
30.3,12200000,1,5,1,0.2
33.6,10500000,12,14,1,0.8571428571428571
19.7,8500000,10,22,1,0.45454545454545453
40.6,15500000,4,30,1,0.13333333333333333
34.7,9200000,2,9,1,0.2222222222222222
36.0,12000000,12,19,1,0.631578947368421
35.5,9350000,4,12,1,0.3333333333333333
30.7,11000000,6,9,1,0.6666666666666666
39.9,12800000,2,23,1,0.08695652173913043
37.7,13300000,3,17,1,0.17647058823529413
34.0,9200000,8,12,1,0.6666666666666666
36.0,10500000,11,16,1,0.6875
32.0,12000000,2,5,1,0.4
36.0,11350000,7,32,1,0.21875
34.0,14650000,8,9,1,0.8888888888888888
40.5,8950000,10,15,1,0.6666666666666666
41.3,12500000,9,17,1,0.5294117647058824
48.6,14000000,17,31,1,0.5483870967741935
36.0,19500000,7,14,1,0.5
34.4,9200000,12,12,1,1.0
34.5,13500000,4,16,1,0.25
29.0,15500000,2,9,1,0.2222222222222222
41.0,11350000,5,20,1,0.25
32.4,9900000,12,12,1,1.0
37.0,13990000,16,17,1,0.9411764705882353
40.0,11490000,16,18,1,0.8888888888888888
37.7,14990000,10,24,1,0.4166666666666667
32.9,10900000,7,9,1,0.7777777777777778
38.0,12400000,11,14,1,0.7857142857142857
37.8,12500000,1,16,1,0.0625
32.0,13800000,2,25,1,0.08
34.0,15700000,7,26,1,0.2692307692307692
35.8,8980000,14,14,1,1.0
41.8,14700000,11,19,1,0.5789473684210527
33.8,11150000,9,9,1,1.0
27.5,9300000,6,9,1,0.6666666666666666
33.0,9465000,3,10,1,0.3
32.9,10300000,1,9,1,0.1111111111111111
35.1,10000000,2,9,1,0.2222222222222222
32.7,12000000,3,9,1,0.3333333333333333
39.6,11600000,16,18,1,0.8888888888888888
37.4,11000000,3,16,1,0.1875
39.0,13400000,13,22,1,0.5909090909090909
42.7,11990000,2,15,1,0.13333333333333333
40.0,12600000,14,14,1,1.0
37.0,11500000,8,12,1,0.6666666666666666
30.9,8299000,16,17,1,0.9411764705882353
34.2,9500000,12,17,1,0.7058823529411765
18.6,10500000,5,7,1,0.7142857142857143
31.2,19500000,10,25,1,0.4
32.0,12800000,5,9,1,0.5555555555555556
36.0,11999999,4,12,1,0.3333333333333333
50.5,39000000,3,5,1,0.6
38.0,9500000,11,17,1,0.6470588235294118
33.0,9500000,4,5,1,0.8
38.5,20000000,12,20,1,0.6
36.0,15000000,14,14,1,1.0
44.3,20821000,2,6,1,0.3333333333333333
21.0,11600000,1,8,1,0.125
40.0,38000000,9,14,1,0.6428571428571429
42.0,10350000,1,3,1,0.3333333333333333
40.0,10900000,7,24,1,0.2916666666666667
35.0,10800000,14,16,1,0.875
35.0,18100000,7,10,1,0.7
38.7,13500000,7,9,1,0.7777777777777778
44.6,10333000,1,3,1,0.3333333333333333
41.1,13700000,14,15,1,0.9333333333333333
31.3,8900000,3,9,1,0.3333333333333333
33.4,20990000,4,26,1,0.15384615384615385
30.5,15300000,1,5,1,0.2
40.9,11499000,24,24,1,1.0
44.3,35300000,9,21,1,0.42857142857142855
37.4,20800000,3,25,1,0.12
48.5,17000000,2,17,1,0.11764705882352941
31.0,31450000,2,5,1,0.4
37.0,10800000,1,17,1,0.058823529411764705
37.8,11500000,1,9,1,0.1111111111111111
37.2,10700000,12,22,1,0.5454545454545454
38.0,11400000,14,16,1,0.875
42.3,13000000,14,22,1,0.6363636363636364
28.0,10200000,1,21,1,0.047619047619047616
52.8,17399999,7,18,1,0.3888888888888889
34.8,12499999,2,14,1,0.14285714285714285
